TWEET,true_emoji,pred_emoji
Say no more,heart_eyes,wink
you damn right I won't,sob,heart_eyes
I bet this how my daughter is going to be lmao I can't wait to have a daughter at least one lol,sob,relaxed
"Enough with the fast food places, there's plenty of those. I need a 24 hour Starbucks",sob,weary
i bet you're going,sob,blush
"Tomorrow is the first day of fall, bet I'm going to put out my fall decorations",heart_eyes,sob
I bet you're a hot wet rat though,wink,weary
Yay bet,grin,wink
Imma tell her not to let you in,grin,sob
Omg this is the best,heart_eyes,sob
bet make sure u hmu,grin,smirk
that's a bet,blush,smirk
I'm craving subway,weary,yum
starbucks,heart_eyes,yum
"oh bet, well then I'll go down and stay down",smirk,blush
You my fav,blush,sob
That was the worst movie ever,sob,weary
I want subway,sob,weary
Damn,smirk,flushed
that's a bet,smirk,grin
Oh my lord,blush,sob
Starbucks time :-))) #hangouts #friends #kids #cakes,heart_eyes,weary
"willing to bet there is more sugar in corn, which as we know is bad for you",wink,sob
I Fucking Bet They Do,wink,yum
I Want Some Subway,yum,weary
That's me I always remember what gets everywhere,sob,blush
I bet cupcakke is so damn fun to be around,weary,wink
You bet,wink,smirk
That hat,heart_eyes,sob
Ano mas bet mo? Fan of both fandoms,heart_eyes,blush
she's bringing me starbucks rn,yum,smirk
let's not forget I bet money on you for always looking good ?,blush,relaxed
I bet 10 some freshmen gone have a emoji fit on,sob,smirk
Bet U ready na,wink,blush
Fuck that bitch,sob,weary
bet go look at our last convo,grin,blush
got my subway,blush,weary
"I bet it is, but u know what I see? an undeniably beautiful girl w a sexy ass body",heart_eyes,relaxed
i should just live in walmart so i wont never be hungry and everything i want all in one place,yum,sob
"90,000 people. I bet. RT : Feel like I'm the only one not at the LA Rams game",weary,blush
Bet you can't guess where we are! Time for all the delicious food! Mmmmm who else is going this year?,wink,sob
Starbucks line be outta control at all times of the day bruh,weary,heart_eyes
Naw my playa card gone get revoked I can't tell you,weary,heart_eyes
I want Starbucks,heart_eyes,weary
"I bet he's so big and grown now, I miss Jackson as well",sob,weary
he want to keep playing the game. bet,yum,blush
Starbucks sounds so good rn,yum,weary
Make out with Blake. I bet that would blow up.,sob,relaxed
Bet Bae Bouta Come Too school,blush,smirk
Having a Starbucks on campus is the best part,yum,heart_eyes
starbucks,flushed,weary
I want Starbucks,sob,weary
I want subway,yum,weary
I bet your phone is popping,heart_eyes,sob
Where df these at ? I bet that hoe bussin,yum,blush
Listening to this granny gossip behind me in line at Walmart makes me miss my nana,heart_eyes,sob
yeah thanks for my no coffee,weary,sob
Someone take me to starbucks at lunch pls,weary,yum
That's a fat ass bet,heart_eyes,smirk
aight bet,sob,smirk
bet you still be loooking goood tho!!,heart_eyes,wink
Wish I was at Kanye West bet Kim was there,sob,weary
starbucks,weary,yum
I saw some videos about it but I bet the book will be waaay better. Thanks Georgy!,grin,wink
Right,weary,sob
ok bet,sob,blush
"Bet money I can do it wayyyy better ,",weary,blush
"wolfed it down I bet, I love a snickers. But in brownies",heart_eyes,wink
Tomisin behave,sob,blush
This Thread What I Need ️ &gt;&gt;&gt;,relaxed,weary
you talk like you bet it all on me' &amp; you can't take no L's off of me!,smirk,blush
It's a bet,weary,relaxed
I hope Walmart run out of madden games today,blush,sob
I bet you didn't,sob,smirk
Hold up.... Dominos has drones that deliver pizza now,flushed,heart_eyes
i bet,sob,blush
I really want a subway sandwich,weary,heart_eyes
McDonalds is my favorite brand,heart_eyes,sob
happy birthday bud I bet you're looking handsome,wink,relaxed
bet bet now hook me up with one of ya hgs,smirk,blush
bet shawty that's our plan,wink,yum
I want some subway or taco bell,yum,weary
"Why every time I want a milkshake from McDonalds, their machine is messed up",sob,yum
my guyyyy gia bet no b shmizzzzzzzed ..,sob,smirk
Sweet tea from mcdonalds sounds so good rn,weary,blush
lets go to Starbucks,heart_eyes,weary
ugh that looks awful Bet they don't have their lush toasted tea cakes either!,heart_eyes,grin
I hope to god oomf EVER comes for me BET,blush,wink
Bet lol,wink,blush
please bring me some Starbucks,sob,smirk
Eh your diary is insane. And I bet it's like this right through until after the festive season,weary,smirk
Watch me on tv tomorrow,grin,sob
lmfao bet,blush,grin
Well done #SWNT on qualification! I bet your brother's proud (used to work with him),wink,heart_eyes
Why have I bet on Monaco Fucksake,weary,relaxed
happy bday jack!! Hope you've had the bet day xx,blush,heart_eyes
boy ask that nigga why he just blocked me bet it's for pnd,sob,wink
i bet... hang in there,grin,smirk
I want some hot cakes from mcdonalds..,yum,weary
Really,weary,sob
this was for you,grin,smirk
"Hey, did you get something signed? Is he even better looking up close &amp; personal? I bet he is!!!",heart_eyes,wink
I bet this hit home for Ryan,weary,blush
You bet! ️,relaxed,wink
Bet you can't do it like this,wink,relaxed
I love Starbucks,heart_eyes,yum
I bet...,wink,blush
okay bet,weary,blush
awesome! I bet he loved it! I miss going out with her! Filling up pillow cases! Now we scare ppl,grin,smirk
I bet you got hella hoes that night,sob,grin
I don't understand y u waste ur time doing this bull shit I bet this will get u a good rep,wink,blush
bet have fun reclosing the kitchen,blush,grin
S/O to for the Starbucks!!! You tha best!!! ️,relaxed,heart_eyes
bet nobody that you been wit even know you a freak you know you only do that wit me,yum,wink
I swear,heart_eyes,sob
"lmao ight bet , I'll bring the kool-aid",sob,flushed
It does,weary,yum
Bet you're welcome to come over whenever ️,relaxed,sob
Craving a tea from Starbucks,sob,weary
I just want some Starbucks.,yum,weary
i'm really appalled mcdonalds is winning by such a slim margin,sob,relaxed
#ukmtip #INPLAY #Football #punt (note the bet structure ),wink,grin
Let's go to Starbucks,yum,weary
Thanks for subway,yum,heart_eyes
Making an emergency trip to,weary,blush
The person in the car in front of me at the drive thru bought me my coffees this morning ️ Remember to pay…,relaxed,blush
starbucks,sob,yum
I bet the patriots don't lose Sunday night,blush,grin
i peep that new vid with kelly and maddy,smirk,weary
last Saturday before college starts? bet.,smirk,relaxed
Can just release their holiday flavors already,yum,relaxed
Bet got some good movies on,sob,blush
More #starbucks goodies for me #tobeapartner #PSL #cofeepassion,grin,blush
"If sum1 saw a pic of ur face they would say ""oh jk it's an ugly 10 year old boy""",flushed,weary
I bet Baird bans all Greyhound Buses...,flushed,relaxed
Too cute! Lucky girl! I bet she will be so loved!! ️️,relaxed,blush
Vote lang guys,blush,weary
Quiznos is 10x better than Subway,heart_eyes,yum
I bet it did,sob,wink
ok bet,blush,grin
DOMINOS SELLING PATRIOTISM BY CELEBRATING GUESS WHAT? 11th Sep 1948; sorry Jinnah!,smirk,sob
Starbucks,blush,yum
I need some Starbucks,yum,weary
these pumpkin spiced coffee's at Starbucks need to stay here all year,sob,heart_eyes
Happiness is Dunkin Donuts is happiness,blush,grin
ok bet!,grin,yum
I bet you win best camp counselor every year,blush,smirk
hot damn! I just want a full day of you being my mattress. Bet that chest hugs a face just right.,heart_eyes,relaxed
The hostility in this tweet,sob,blush
glad I could help,yum,weary
yesss ok bet,blush,grin
My life has meaning again,heart_eyes,weary
McDonalds money,weary,sob
Was thinking about the same thing,weary,sob
You bet.,smirk,blush
That's a bet,smirk,blush
"didn't get it though, they didn't have it near my gate",sob,flushed
Confession: I'm addicted/ obsessed with Starbucks.,grin,weary
Starbucks,blush,yum
Bet you want me to buy you this ey xxxxx,grin,wink
Basic at Starbucks,smirk,weary
who wanna bet she don't leave?,smirk,heart_eyes
I want Starbucks,sob,weary
Starbucks would be nice,yum,weary
you confirm it right,sob,grin
i bet yhu dont,blush,sob
They was like saddleback sweet I bet,flushed,sob
bet &amp; free Patrick,sob,yum
some starbucks before class is much needed,weary,heart_eyes
bet she can never make you feel how I did,yum,blush
Talk like you bet it all on me,weary,smirk
Haha bless u. Thanks for watching my snapchats tho bro. I'll dedicate my next line to u mate x ️,relaxed,sob
aye bet it up,smirk,wink
YASSSSSS my girl ! #OneShot,grin,wink
i wanna go on a movie &amp; starbucks date tonight,blush,heart_eyes
I bet so,sob,wink
Oh yes,sob,heart_eyes
"yes, to the fade.",blush,heart_eyes
Nak subway,weary,sob
I bet!!!,grin,blush
did you know we get free refills at Starbucks ?,heart_eyes,weary
They bet not break up,sob,wink
Happy Birthday bebeker!! Bet ko yung attitude mong matapang &amp; being true to yourself. Hope we can get more closer stay…,grin,blush
Someone bring me starbucks,heart_eyes,weary
bet ima b there for a while hmu,blush,wink
Starbucks,heart_eyes,yum
Someone be a doll and bring me Starbucks to school,weary,sob
Okay,yum,weary
alright bet,yum,blush
"You girls couldn't even handle my spot, I bet you'll fold.",wink,grin
Best news received today,heart_eyes,weary
Both,heart_eyes,weary
I bet,blush,wink
Buy me Starbucks,blush,weary
Iman bet not never f* up,heart_eyes,grin
Me and Jacob bet what blac chyna was going to have and I won ️️️️️,relaxed,sob
im over the moon,yum,heart_eyes
"you ain't gotta like me, bet you know my name tho",wink,smirk
Starbucks,heart_eyes,yum
"I miss you, you're so cute",yum,sob
Bet I'm stressed I need it,weary,wink
i bet... #ALDUBSelflessActs,wink,heart_eyes
"Bruh Bet He'll Win Player Of The Season"": De brune""",blush,sob
I bet he made a McChicken out of her buns,smirk,wink
Who want to bet on this game ️️,relaxed,wink
I really wanted subway,weary,yum
Starbucks caramel frappe,yum,weary
I bet Kobe went 10 for 38 blowing out his candles,sob,wink
thankyouu ! and bet,blush,sob
btw venue is outside starbucks at 5pm,blush,heart_eyes
I want Starbucks,sob,weary
Pic creds,heart_eyes,weary
going to walmart today mann,weary,sob
bet you ain't peep artwork #3 b4 that nap tho fam,grin,smirk
I bet chu do,sob,grin
starting now ien texting nobody first we'll see,sob,yum
I miss Starbucks,sob,weary
That's a bet,yum,blush
Left my shoes at school in the changing rooms and I bet any money some skanks stole them already,weary,blush
It's 12:00 and I just woke up...I need Starbucks to get through this train wreck,weary,yum
lmfao bet ya can't hit it like that buuut,wink,sob
i want some starbucks but i don't feel like going get it,sob,weary
that's a bet! I'll be keeping up fam.,smirk,heart_eyes
bet I'm in there also,sob,grin
bet you got bread ?,blush,grin
The most important ones are friends like that go to mcdonalds with you at 1:26am ️ #friesbeforeguys,relaxed,blush
"Bet ye've never been chucked out a kushion for crowd surfing on the dance floor, well a have",wink,yum
2 drinks and a sandwich is 16.88 at Starbucks. worth it,flushed,weary
Eating from dominos,sob,flushed
I hate walmart,weary,sob
Subway never disappoints,weary,yum
okay bro bet,weary,relaxed
i bet you looking for a real nigga too,yum,blush
I gotta go to Walmart,blush,weary
"Fuck Starbucks yo, I miss Dunkin",sob,weary
"Happy Friday! Couldn't decide which breakfast treat to get, so I'll sample a bit of both.",yum,heart_eyes
Vero is a real one for buying me Starbucks,blush,yum
"I had a PSL at Starbucks this morning &amp; man, was I in good company! Miss , you are so sweet &amp; beautiful! https:/…",heart_eyes,sob
Oh yeah..but i bet you would be really looking more beautiful than them in reality *fingers crossed*,blush,weary
i want some dominos,yum,weary
This is Crazy funny,sob,heart_eyes
subway*,sob,yum
Lol some folks bet not ever speak to me again,sob,smirk
McDonalds for dinner,grin,sob
I bet!!,wink,blush
Might turn this Subway into a McChicken,heart_eyes,weary
I bet all the 9 members wants to ride the feels train since it will be the last time their characters will appear there,sob,smirk
Hell yea,weary,sob
starbucks,heart_eyes,yum
bet this smells amazing,heart_eyes,wink
I need starbucks,yum,weary
due to w hill closing accounts when you try to get a bet on a horse I will offer £1000 to buy them,flushed,blush
ugh that's a bet,weary,wink
Walmart sell Jordans now,flushed,yum
really very in need of a pink drink from starbucks,weary,heart_eyes
I'm JPs boy toy and he loves it,smirk,blush
Subway,heart_eyes,yum
"Fuck, bet everyone's regretting those excessively frilly cuffs right about now #Versailles #SunOnMySkin",flushed,heart_eyes
im known for this,sob,blush
"They didn't understand none of this was planned, 99 problems but a bitch bet not be nan",wink,blush
I want Starbucks,yum,weary
Catch the good sis on #OnlyForOneNight on guys! We are so proud of her #JVarmy,sob,heart_eyes
That awesome moment when your Manager surprised you with a Starbucks gift card,heart_eyes,sob
i want mcdonalds,sob,weary
I really want some Starbucks,yum,weary
got me some subway,yum,weary
I WANT SUBWAY,weary,sob
I mean you ain't hear that from me but...,grin,wink
i bet lol,weary,wink
you bet️,relaxed,blush
you don't gotta like me but I bet you gone respect me,wink,weary
Starbucks,weary,yum
Need Starbucks,yum,weary
ok bet I got the milk right here for u,smirk,sob
that's how it go,sob,heart_eyes
Welp,sob,weary
honestly my biggest pet peeve is Starbucks taking forever when they're empty,weary,sob
I BET,grin,heart_eyes
You're so cute we proved him wrong. #bet,weary,smirk
I go to Walmart for one thing and come out with bags never fails ..,weary,heart_eyes
i want starbucks,yum,weary
I bet too shit,flushed,smirk
Got me the 2for $4 bacon egg &amp; cheese croissant,yum,flushed
YOU AT MCDONALDS BIHHHH I AINT EVEN LOOK AT THE MIRROR,sob,heart_eyes
Someone take me to starbucks at lunch pls,weary,yum
aight bet,yum,smirk
Subway sounds good,weary,yum
I did ️,relaxed,grin
and Starbucks,flushed,blush
when starbucks is so nutrition rich fits de dietary needs,heart_eyes,grin
the minute i see walmart flooding um goin in dea and get me,weary,sob
Josh out here stunting️,relaxed,heart_eyes
Starbucks queen is back,smirk,yum
Just met the sweetest old man at Starbucks,blush,weary
Bet that wet that,sob,smirk
"Forget pumpkin spice, I can't wait for peppermint mocha to come back to Starbucks",heart_eyes,weary
"You ain't gotta like me , bet u know my name tho",grin,wink
I bet this will be awesome as a spoken word piece!,blush,smirk
"(at in Al Zour, Al Ahmadi)",heart_eyes,yum
I wanna ft my bf but I know she not gone answer but if it was that nigga I bet she answer in a heartbeat,sob,grin
*sigh* Really missing at the Cheney Starbucks this fall...,weary,blush
"next time you go to Starbucks get it with passion tea!! Healthy, and it's tasty",smirk,blush
She said I bet you don't remember me and I said only every other memoryyyyy,smirk,yum
they dance belly dance playing Ala Khwanah from Bet'oul Eh Album in London,heart_eyes,wink
I'm on yo ass now yes u do she lying,sob,relaxed
Funny how it as gone from #Wengerout to #KroenkeOut bet we're in for one hell of a show this season,blush,smirk
"Thats what y'all get for posting all these ""can't wait for fall weather "" bullshit tweets.",heart_eyes,wink
Nope not yet,blush,weary
"Fav , wish it was like 5 minutes long",sob,weary
.still gotta go to Walmart today,weary,sob
Wtfffff me too !,weary,sob
I bet,flushed,weary
I want Starbucks,sob,weary
Craving for Starbucks,sob,weary
What kind of gas station doesn't have Starbucks frapps? I'm stuck with McDonald's iced coffee. &lt;/3,sob,blush
I hope Walmart run out of madden games today,blush,sob
bet I will,wink,smirk
IGHT BET,sob,heart_eyes
I'm Weak,sob,blush
Thaaanks and bet bet,blush,weary
I ain't got shit to do with Jaz but bit dnt tell me bet to make me feel good,sob,smirk
I bet I will,grin,blush
Bet u do,smirk,blush
I bet you is,sob,wink
if heaven wasn't so far you bet your ass I'd be spending the day there,sob,smirk
Starbucks,blush,yum
Bet bet we'll let you know what you missed,blush,smirk
Shit I bet,blush,smirk
Subway would be great right now,weary,yum
you bet ️,relaxed,wink
ight bet,sob,blush
I'm nike.. You're walmart ️,relaxed,sob
THE BET AWARDS TONIGHT ?!,flushed,sob
". ""Oh so u just out having the time of your life. Bet.""",sob,weary
I want dominos,sob,weary
stoppppppppp why are they doing y’all like this,sob,weary
Fuckin cryin,weary,wink
Lmaoo bet. I won't be up too much longer but best of luck,blush,smirk
I bet,flushed,weary
bet not.,smirk,blush
Awesome,blush,heart_eyes
I bet I got like 100 messages,sob,blush
Well done #SWNT on qualification! I bet your brother's proud (used to work with him),wink,heart_eyes
"Bet nobody that you've been with even know you a freak, right? You know you only do that with me",yum,wink
i peep that new vid with kelly and maddy,smirk,weary
I really need to go get Starbucks LIKE NOW,weary,heart_eyes
"Bet she will and squirm out of this, maybe blame it on ""climate change""",wink,blush
I bet,blush,smirk
You want something,smirk,weary
Bet I could make that hump happy,yum,relaxed
Dominos cookies are my absolute favourite,heart_eyes,weary
I BET U DO,wink,blush
Starbucks sounds great rn,heart_eyes,yum
Starbucks,heart_eyes,yum
uglah lil kid,heart_eyes,smirk
right i bet he has no friends,weary,blush
Hallelujah!! Wonder if its vice versa also-bet it isn't!,flushed,wink
Oh my,flushed,blush
I bet this smells amazing,heart_eyes,blush
Who wanna bring me starbucks first day of school,yum,relaxed
if you dismiss me you bet imma fall back.,blush,smirk
Falz won a BET award for Gods sake,weary,sob
Just in time,heart_eyes,weary
"omg they're so cute, I bet they bad as hell",sob,weary
aww thats cool~ i bet y'all are hyper haha ahh i see thanks,grin,relaxed
you bet I'll be there,blush,wink
I bet!!,wink,heart_eyes
lol they didn't care about his pizza when they cut it. Trust me I used to work at dominos,sob,relaxed
starbucks,heart_eyes,yum
Getting my Friday Starbucks fix,yum,weary
alright bet,grin,blush
Chillin. #matcha #frappe @ Starbucks Abreeza Mall,wink,yum
bet come thru shordyyy,wink,smirk
cousin fine ass,heart_eyes,weary
Starbucks,heart_eyes,yum
Over Chick Fil A?,flushed,smirk
lmao jus tell em ... I bet if it were some random chick people would say that's wack,grin,relaxed
I'm ctfu that hit was fast as shxt,sob,weary
Lmfaoooo,weary,sob
Trying to be like in her snaps with Starbucks and one eye,wink,grin
Craving Mcdonalds fries,weary,yum
This my bitch ...I can't laugh,sob,blush
So we going to ignore the fact that there's a horse in drive-thru,sob,heart_eyes
bet she wont go to her house no more,weary,wink
Got free starbucks while we were stuck during the rain,grin,weary
Craving subway,yum,weary
bet that,grin,blush
"I'm hungry es shit this morning .. I want subway , I wish they could deliver",weary,heart_eyes
I want some subway,yum,weary
yes bet,heart_eyes,blush
I bet,grin,weary
"lmao yall wont enn make da playoffs, tryin bet tonight or u wan see how your mob lookin first",grin,blush
#psl is back ️,relaxed,sob
mcdonalds selling everything on the breakfast menu all day now,heart_eyes,weary
I want Starbucks,heart_eyes,weary
The person in the car in front of me at the drive thru bought me my coffees this morning ️ Remember to pay…,relaxed,blush
I want some Starbucks,sob,weary
white mocha frappuccino with caramel,heart_eyes,smirk
"Pull up , bet you won't pull off ️",relaxed,smirk
craving subway rn so so bad,weary,yum
That pink drink at Starbucks got us like,heart_eyes,weary
dominos is always the move wtf,heart_eyes,weary
I want Starbucks,yum,weary
"idek , i'm gonna watch it on netflix after it goes off on BET",weary,smirk
Someone buy me subway,sob,yum
Subway sound so good rn,weary,yum
me and won the bet,wink,weary
"Bet, I'd be the best you ever had",smirk,wink
Same,sob,weary
Starbucks would so clutch rn,weary,yum
i love you,sob,blush
Exactly,sob,heart_eyes
"Politely ask if I can sit with him. And if he says no, I'll sit anyway. He doesn't own Starbucks.",blush,weary
I really want mcdonalds french fries rn,sob,weary
yeah I bet,flushed,wink
Bet U ready na,wink,blush
oh okay bet,blush,smirk
I want Starbucks so bad,heart_eyes,weary
I bet you don't let me see,weary,relaxed
I bet they are chocolate women skin glow like its radioactive,heart_eyes,weary
I bet it helps to get better,wink,weary
ayy I'll take that FIFA bet,smirk,wink
i bet it was,weary,wink
I be tryna tell y'all,weary,sob
12s said Dey bet not catch me driving or Dey locking me up I'm so mad I wanna cum outside,weary,heart_eyes
I want starbucks man ive been craving it for the longest,weary,flushed
I bet you never really made love to an angel,smirk,heart_eyes
I want Starbucks,sob,weary
My favorite,heart_eyes,sob
I bet no one can beat my high score on Hexavoid,heart_eyes,smirk
Both really. Sad sad lives,blush,weary
"Scooter is the name of my car... A VW beetle, convertible.. Very fast..very fun",grin,weary
I'll take that bet!,wink,grin
I bet this is so much deeper for dudes cause females are so petty lol,sob,relaxed
I could do that too,blush,weary
Starbucks before work,grin,yum
That subway was so good,yum,weary
put another bitch in my shoes &amp; I BET she fold!,smirk,heart_eyes
looks like you our senior year when you played in that powder puff game,grin,sob
I sent you bet for another reason,sob,yum
when you worked at Starbucks.,grin,yum
Bet you'll be back in a shock twist! Also called denial - the first stage of grief,sob,blush
"I bet by this point joe could start up his own toilet paper store, my man got it 3 nights in a row",grin,blush
Subway hit the spot,heart_eyes,yum
I bet you do,smirk,wink
"Late Nights, Early Mornings",grin,wink
I bet City volleyball team could do better,grin,sob
Can't believe I just made this bet with Lesley,weary,smirk
I was just the last to respond while you're always the first to message,blush,sob
bet you Jason Bourne would do it,smirk,wink
This movie on BET,sob,flushed
Yea because then you wont feel guilty,blush,heart_eyes
Yooo!! The nanakuli mcdonalds just put my order on the house! Free food tonight b,yum,blush
Istg,sob,weary
oooh omg its so pretty i bet! jelly,sob,weary
I want Starbucks,sob,weary
"I bet girl, pray so you can have patience .",wink,smirk
I bet,grin,weary
I bet,grin,wink
oh ok . Well that's good . I should have done that . &amp; I bet . &amp; good got a new job,grin,blush
"Animals, corporate bailouts, Starbucks, and watching a black guy fuck their wife silly",smirk,heart_eyes
Starbucks,wink,yum
I know we had our ups and downs but man I can't even lie she's bad asl,weary,blush
Late night McDonalds run with my bff,smirk,sob
Sorry and bet Ima find a link,blush,weary
". I bet people on this hoe like ""look at this headass couple"" but fuck em",smirk,sob
I acc believed this video when I was younger till they exposed it in a documentary,sob,wink
Whooo they look so good bet they wound amazing on his grey jumper again,wink,relaxed
he won't have none of they will be left at my house,wink,yum
I am giddy over finally getting to meet him/her !,blush,sob
tut my bitch forever lol nobody bet not try her,wink,weary
We’re not sure if our employees or customers are more excited that our Starbucks Coffee Bar has been installed!,wink,heart_eyes
McDonald's added the bacon egg n cheese mcgriddle to the all day breakfast menu #McDonalds,blush,heart_eyes
McDonalds advert,heart_eyes,yum
Nope,blush,sob
"Bet ya think I'm missin' you and wishin' you'd call my phone, hell nah",wink,weary
Bet lol,smirk,blush
Subway surfers,sob,heart_eyes
I bet,blush,wink
1. 2. Bet nothing changes because y'alls work ethic is compared to MHS. but alright bet.,smirk,wink
Saints lost today I bet you know that,grin,sob
"Spurs wanna get the finger out, destroying my bet here",weary,yum
"""Try to look at this without smiling, bet you cant""",wink,yum
I did not bet on Sevilla to win,grin,relaxed
and Starbucks,sob,blush
The Starbucks double smoked bacon sandwich is LIFE.,yum,blush
bet I will.,smirk,blush
Bring me some,weary,sob
Craving Starbucks,yum,weary
I bet I could show you better than I could tell you,smirk,blush
I bet you regret saying get wit ha ️,relaxed,weary
this &gt;&gt;&gt; man what !,weary,sob
bet don't frank ocean us bro,sob,blush
Ohno,sob,weary
In need of a pumpkin spice latte from Starbucks,yum,wink
A chicken bacon ranch sandwich from Dominos would be so good rn,heart_eyes,sob
I bet she touched him every time,yum,smirk
Oh my lord,heart_eyes,sob
Got free Starbucks,blush,weary
I want Starbucks,sob,weary
i bet,blush,weary
"bet, just hmu",yum,smirk
Bet!! I got you.,blush,sob
Too true,weary,sob
if you are thinking of Sri Lanka then maybe Dubai or Abu Dhabi might be a good bet too,blush,wink
tori woke me up with breakfast and Starbucks in bed,heart_eyes,weary
Craving subway,yum,heart_eyes
I bet Kenneth cry when Venet leave for college,blush,weary
i love you,blush,heart_eyes
I bet she does,yum,smirk
craving starbucks,weary,sob
Bet that shit hurts huh ?,yum,smirk
"Bitch I missed all that, knocked out",weary,relaxed
I don't think this school understands that I need unlimited flex for Starbucks,weary,heart_eyes
Ight bet,smirk,blush
lol bet girl,grin,smirk
okay bet,grin,blush
did we really drive 2 1/2 hours for a drive thru safari??? you bet giraffe we did.,wink,weary
Really want Starbucks,sob,weary
Holy shit,flushed,sob
bet when I come back I got you,wink,blush
This movie on BET pissing me off,grin,smirk
"Especially that kind of broccoli, I bet.",smirk,sob
I bet his parents are Nigerian smh,sob,smirk
ooo bet,grin,wink
Do it! Its too hot for him to be outside walking on concrete give him lots of lovin,sob,weary
McDonald's and tatted after,blush,sob
Im craving starbucks rn vanilla bean sounds really gr8 rn,weary,yum
Bet why,sob,weary
New music. New shows. 9/22 - Uvill Starbucks 10/9 - Crocodile,heart_eyes,yum
I bet it'll all be perfect,heart_eyes,blush
"the next hoe that you love, I bet I'll make that hoe my bitch",blush,sob
Ight bet watch me be petty ️️️,relaxed,smirk
Bet y'all didn't know I was a yoga enthusiast back in my day,smirk,blush
I want Starbucks,sob,weary
I want subway,sob,weary
"Getting screwed up by sprint n now getting rewarded by Starbucks, what a time to be alive",yum,heart_eyes
my boyfriend came through,heart_eyes,sob
They were Mexican,heart_eyes,sob
The chicken and bacon ranch melt from subway be the one!,weary,heart_eyes
I'll be home for fall break u better bet we're pigging out,yum,wink
Rihanna is really a classy girl.,smirk,sob
bet bet I got chu ️,relaxed,blush
joji hates his fans but you know who doesnt hate his fans?! ChildrenOfOwls,heart_eyes,blush
I bet it sucks to be you right now,blush,smirk
I want Starbucks,sob,weary
Bet I do,blush,sob
It's national iced tea day I'll be there in a bit,yum,grin
i want starbucks,blush,weary
I bet he does,weary,sob
I bet,blush,weary
"Ain't gotta like me, bet you know my name though",smirk,heart_eyes
"owwee shit , you hell driving a Sonata !!! bet ima fwy my niggaa",weary,blush
I want Starbucks .,yum,relaxed
I bet it was,smirk,wink
Craving starbucks n a blunt,weary,heart_eyes
"BET, we gonna have to see",flushed,grin
I bet,blush,weary
Starbucks please,smirk,sob
bet u can't whip like me,grin,smirk
wanna bet,yum,blush
Brighter lipsticks always look the best on dark skinned women,heart_eyes,blush
I love subway so much,heart_eyes,yum
bet they had loads of free pens there,yum,sob
ard betimma b up fca lls.,blush,relaxed
I bet you do,sob,wink
Bet everyone's having a better afternoon than me. It's only keeping me sane,flushed,smirk
i bet,wink,weary
Ared bet,grin,blush
how much you wanna bet ho? &amp; when he get back I'll tell him.,heart_eyes,smirk
Should have put a bet on bear fuck sakes,weary,smirk
this &gt;&gt;&gt; man what !,weary,sob
where ? i bet them hoes STANK,sob,weary
deadddddddd,sob,yum
want starbucks,sob,weary
ok bet,grin,blush
If you ask yo girl right now I'll bet $100 to yo $1 she say I'm her favorite trapper,smirk,blush
Ok no seriously I bet not see y'all wit this in y'all head,weary,relaxed
Damn right,sob,wink
LMMFAO NOOOOOO RT : Totally not what happened .,sob,yum
THATS A BET,grin,blush
bet that up,wink,smirk
I just need to go to Walmart,weary,sob
Trinis mad yes,sob,weary
lol everything makes sense now .. bet,blush,relaxed
"Made us some ""digging chunky"" at Starbucks!",heart_eyes,weary
Starbucks,weary,yum
yeah I bet .,smirk,wink
Omg how could you discontinue the strawberry shortcake donut?? #graveerror #epicfail,sob,heart_eyes
Play pull up by G Herbo in the car with ya girl I bet she start looking at you all crazy,yum,relaxed
pull up on me and smoke this blunt bet youn be stun that shit,sob,relaxed
I was sleep and my phone was on mute . Come love me pal,sob,grin
if you saw him,heart_eyes,wink
"I'm in serious need for coffee, Starbucks, or anything caffeinated",blush,heart_eyes
subway,heart_eyes,yum
I loose respect for people fast . Wanna act different/shady . Alright bet,blush,smirk
I bet,heart_eyes,weary
please could u send some 350's my way haha? If i don't ask i suppose i don't geti bet u wont even see this #wastedtweet,wink,smirk
"she's not crazy like me, I bet you like that",wink,grin
Chrome nails and Starbucks is the way to go,yum,grin
"oooo damn look how far you've come since the last time you were there, I bet with a lot less books this time",smirk,heart_eyes
I need Starbucks omg,sob,weary
(@ Starbucks),yum,blush
"Dominos, X factor, and ma main gals. Perfect evening",blush,heart_eyes
"bet, we'll see️",relaxed,blush
from Starbucks?,heart_eyes,smirk
"You ain't gotta like me, bet you know my name though",wink,blush
Bet tell her you need that 50,yum,wink
bet she wont go to her house no more,weary,wink
take me with you cause I have a but y one get one coupon,weary,relaxed
super bet,yum,smirk
"omg they're so cute, I bet they bad as hell",sob,weary
The Bartlesville Starbucks is prolly the biggest shit show I've ever seen. It's makes me miss my bixby one sooooo much,sob,flushed
I bet he was nervous because of their kiss.,smirk,sob
but his card got declined at subway,flushed,weary
lmao I bet,sob,heart_eyes
ard bet we really gonna be out,grin,sob
ok bet,wink,blush
Start bringing shit home !,blush,smirk
That bag tho,heart_eyes,smirk
yikes,grin,wink
starbucks,weary,yum
Back when BET was worth watching,sob,smirk
We got mcdonalds and they forgot our fries like wth,sob,weary
lmfao bet,smirk,grin
Chicken fillet,grin,heart_eyes
I just bet you will,sob,weary
She a Baddie,heart_eyes,sob
I bet I get off sugar,smirk,wink
